"id","link","createdAt","updatedAt","IdProducto","dimension","key","folio","height","width"
473,"https://azulejos-portadas.s3.amazonaws.com/473.jpg","2018-07-18 21:13:27","2019-01-22 01:58:11",923,"400x400","400_923.png",541,400,400
472,"https://azulejos-portadas.s3.amazonaws.com/472.jpg","2018-07-18 21:10:25","2019-01-22 01:58:11",915,"400x400","400_915.png",91125,400,400
471,"https://azulejos-portadas.s3.amazonaws.com/471.jpg","2018-07-18 21:00:05","2019-01-22 01:58:11",919,"400x400","400_919.png",37019,400,400
470,"https://azulejos-portadas.s3.amazonaws.com/470.jpg","2018-07-18 20:59:01","2019-01-22 01:58:11",921,"400x400","400_921.png",99450,400,400
47,"https://azulejos-portadas.s3.amazonaws.com/47.jpg","2018-07-02 22:53:48","2019-01-22 01:58:11",1414,"400x400","400_1414.png",90746,400,400
469,"https://azulejos-portadas.s3.amazonaws.com/469.jpg","2018-07-18 19:02:27","2019-01-22 01:58:11",820,"400x400","400_820.png",70155,400,400
468,"https://azulejos-portadas.s3.amazonaws.com/468.jpg","2018-07-18 16:39:03","2019-01-22 01:58:11",913,"400x400","400_913.png",42829,400,400
467,"https://azulejos-portadas.s3.amazonaws.com/467.jpg","2018-07-18 16:27:36","2019-01-22 01:58:11",974,"400x400","400_974.png",92734,400,400
466,"https://azulejos-portadas.s3.amazonaws.com/466.jpg","2018-07-18 16:24:40","2019-01-22 01:58:11",998,"400x400","400_998.png",97202,400,400
465,"https://azulejos-portadas.s3.amazonaws.com/465.jpg","2018-07-18 16:21:37","2019-01-22 01:58:11",862,"400x400","400_862.png",18885,400,400
464,"https://azulejos-portadas.s3.amazonaws.com/464.jpg","2018-07-18 16:17:00","2019-01-22 01:58:11",815,"400x400","400_815.png",28351,400,400
463,"https://azulejos-portadas.s3.amazonaws.com/463.jpg","2018-07-18 16:11:51","2019-01-22 01:58:11",1007,"400x400","400_1007.png",63286,400,400
462,"https://azulejos-portadas.s3.amazonaws.com/462.jpg","2018-07-18 16:00:17","2019-01-22 01:58:11",835,"400x400","400_835.png",62108,400,400
461,"https://azulejos-portadas.s3.amazonaws.com/461.jpg","2018-07-18 15:59:10","2019-01-22 01:58:11",828,"400x400","400_828.png",50305,400,400
460,"https://azulejos-portadas.s3.amazonaws.com/460.jpg","2018-07-18 15:57:02","2019-01-22 01:58:11",842,"400x400","400_842.png",60712,400,400
46,"https://azulejos-portadas.s3.amazonaws.com/46.jpg","2018-07-02 22:51:26","2019-01-22 01:58:11",7355,"400x400","400_7355.png",84900,400,400
459,"https://azulejos-portadas.s3.amazonaws.com/459.jpg","2018-07-18 15:41:02","2019-01-22 01:58:11",1005,"400x400","400_1005.png",86691,400,400
458,"https://azulejos-portadas.s3.amazonaws.com/458.jpg","2018-07-18 15:39:43","2019-01-22 01:58:11",905,"400x400","400_905.png",89608,400,400
457,"https://azulejos-portadas.s3.amazonaws.com/457.jpg","2018-07-18 14:48:41","2019-01-22 01:58:11",902,"400x400","400_902.png",81124,400,400
456,"https://azulejos-portadas.s3.amazonaws.com/456.jpg","2018-07-17 18:42:44","2019-01-22 01:58:11",7511,"400x400","400_7511.png",35736,400,400
455,"https://azulejos-portadas.s3.amazonaws.com/455.jpg","2018-07-16 21:26:25","2019-01-22 01:58:11",1320,"400x400","400_1320.png",95365,400,400
453,"https://azulejos-portadas.s3.amazonaws.com/453.jpg","2018-07-16 15:02:23","2019-01-22 01:58:11",1276,"400x400","400_1276.png",63311,400,400
452,"https://azulejos-portadas.s3.amazonaws.com/452.jpg","2018-07-15 00:37:11","2019-01-22 01:58:11",937,"400x400","400_937.png",41949,400,400
451,"https://azulejos-portadas.s3.amazonaws.com/451.jpg","2018-07-15 00:35:07","2019-01-22 01:58:11",808,"400x400","400_808.png",97791,400,400
450,"https://azulejos-portadas.s3.amazonaws.com/450.jpg","2018-07-13 22:15:13","2019-01-22 01:58:11",1294,"400x400","400_1294.png",31776,400,400
45,"https://azulejos-portadas.s3.amazonaws.com/45.jpg","2018-07-02 22:45:21","2019-01-22 01:58:11",1383,"400x400","400_1383.png",58442,400,400
449,"https://azulejos-portadas.s3.amazonaws.com/449.jpg","2018-07-13 21:29:12","2019-01-22 01:58:11",7405,"400x400","400_7405.png",74060,400,400
448,"https://azulejos-portadas.s3.amazonaws.com/448.jpg","2018-07-13 20:59:37","2019-01-22 01:58:11",7394,"400x400","400_7394.png",73663,400,400
447,"https://azulejos-portadas.s3.amazonaws.com/447.jpg","2018-07-13 18:24:39","2019-01-22 01:58:11",1415,"400x400","400_1415.png",22712,400,400
446,"https://azulejos-portadas.s3.amazonaws.com/446.jpg","2018-07-13 16:32:05","2019-01-22 01:58:11",NULL,"400x400","400_null.png",3207,400,400
445,"https://azulejos-portadas.s3.amazonaws.com/445.jpg","2018-07-12 16:19:37","2019-01-22 01:58:11",994,"400x400","400_994.png",2528,400,400
444,"https://azulejos-portadas.s3.amazonaws.com/444.jpg","2018-07-12 16:17:00","2019-01-22 01:58:11",993,"400x400","400_993.png",9177,400,400
443,"https://azulejos-portadas.s3.amazonaws.com/443.jpg","2018-07-11 20:41:01","2019-01-22 01:58:11",7627,"400x400","400_7627.png",10116,400,400
